revision;fpOrderingMergeScenarios;fpRenamingMergeScenarios;fnDuplicationMergeScenarios;fnImportMergeScenarios;textualConfUnmerge;textualConfSsmerge;fpOrderingConf;fpRenamingConf;fnDuplicationMissed;fnImportMissed;fpRenamingConfDup;fpConsLines;fpSpacing;fpConsSpac;fpRenamingConfDupMergeScenarios;fpConsLinesMergeScenarios;fpSpacingMergeScenarios;fpConsSpacMergeScenarios;fnNewArtRefOldOneMergeScnarios;fnNewArtRefOldOneConf;fnInitializationBlocks;fnInitializationBlocksMergeScnarios;fnAcidental;fnAcidentalScenarios;crosscutingConflicts;crosscutingScenarios;equalConfs
/home/arthur/analysis/projects/grpc-java/revisions/rev_61179ab_cc17041/rev_61179ab-cc17041.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_cb48509_620f041/rev_cb48509-620f041.revisions;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_b3277c6_c125996/rev_b3277c6-c125996.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_891bd7a_d2bf883/rev_891bd7a-d2bf883.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_546fbd4_56c2509/rev_546fbd4-56c2509.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_2773421_3670030/rev_2773421-3670030.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_62a88c0_82341a7/rev_62a88c0-82341a7.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_c942fe9_d1783eb/rev_c942fe9-d1783eb.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_488f8a9_87daf0e/rev_488f8a9-87daf0e.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_e9fa6c6_620f041/rev_e9fa6c6-620f041.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_553a1d2_ef6be79/rev_553a1d2-ef6be79.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_0ae4952_891bd7a/rev_0ae4952-891bd7a.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_63600ad_56c2509/rev_63600ad-56c2509.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_67d9a74_b8211a1/rev_67d9a74-b8211a1.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_a61cfe6_680eb4d/rev_a61cfe6-680eb4d.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_edabef0_ce030ba/rev_edabef0-ce030ba.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_194cad3_b1cc7cc/rev_194cad3-b1cc7cc.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_651ef4f_87bb4d5/rev_651ef4f-87bb4d5.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_553a1d2_cc04fd1/rev_553a1d2-cc04fd1.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_54aa769_b36fc99/rev_54aa769-b36fc99.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_e479f8e_dcbcfbe/rev_e479f8e-dcbcfbe.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_979fb8b_831594a/rev_979fb8b-831594a.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_42c83ac_f8a7681/rev_42c83ac-f8a7681.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_40c4233_c9a4645/rev_40c4233-c9a4645.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_6620639_c6deece/rev_6620639-c6deece.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_c2b9d29_fd6201b/rev_c2b9d29-fd6201b.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_79c2f53_6e9ba9b/rev_79c2f53-6e9ba9b.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
