revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/okio/revisions/rev_0ae4952_891bd7a/rev_0ae4952-891bd7a.revisions;59;51;0;51;0;8;8;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_63600ad_56c2509/rev_63600ad-56c2509.revisions;2452;615;0;615;0;1837;1837;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_67d9a74_b8211a1/rev_67d9a74-b8211a1.revisions;151;124;0;124;0;27;27;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_a61cfe6_680eb4d/rev_a61cfe6-680eb4d.revisions;167;92;0;92;0;75;75;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_edabef0_ce030ba/rev_edabef0-ce030ba.revisions;916;631;0;631;0;285;285;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_194cad3_b1cc7cc/rev_194cad3-b1cc7cc.revisions;249;123;0;123;0;126;126;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_651ef4f_87bb4d5/rev_651ef4f-87bb4d5.revisions;137;54;0;54;0;83;83;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_553a1d2_cc04fd1/rev_553a1d2-cc04fd1.revisions;303;168;0;168;0;135;135;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_54aa769_b36fc99/rev_54aa769-b36fc99.revisions;59;51;0;51;0;8;8;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_e479f8e_dcbcfbe/rev_e479f8e-dcbcfbe.revisions;2453;616;0;616;0;1837;1837;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_979fb8b_831594a/rev_979fb8b-831594a.revisions;173;124;0;124;0;49;49;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_42c83ac_f8a7681/rev_42c83ac-f8a7681.revisions;167;92;0;92;0;75;75;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_40c4233_c9a4645/rev_40c4233-c9a4645.revisions;954;690;0;690;0;264;264;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_6620639_c6deece/rev_6620639-c6deece.revisions;77;72;0;72;0;5;5;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_c2b9d29_fd6201b/rev_c2b9d29-fd6201b.revisions;139;54;0;54;0;85;85;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_79c2f53_6e9ba9b/rev_79c2f53-6e9ba9b.revisions;304;168;0;168;0;136;136;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_c01603c_bece94f/rev_c01603c-bece94f.revisions;59;51;0;51;0;8;8;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_be1a793_fabf65f/rev_be1a793-fabf65f.revisions;2453;616;0;616;0;1837;1837;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_c90ca7c_5519d0c/rev_c90ca7c-5519d0c.revisions;185;127;0;127;0;58;58;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201.revisions;170;95;0;95;0;75;71;4;0;4;9;0;0
/home/arthur/analysis/projects/java/revisions/rev_4355ac0_e7be17c/rev_4355ac0-e7be17c.revisions;972;692;0;692;0;280;263;1;16;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_c60f017_69e778f/rev_c60f017-69e778f.revisions;257;129;0;129;0;128;128;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_eab45de_6a46435/rev_eab45de-6a46435.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
